Phase,Sub-Item,Type,Module Mapping,Specified in TOR,Custom Dev (One-time),Custom Dev MA & Hosting (On-going/year),License (On-going/year),Service (On-going/year),Setup (One-time),Per Consumption Cost,TOR Items Mapping,Additional CRM Features Beyond TOR
Phase 1,Back Office: สิทธิ์ผู้ใช้งาน (Role/Permission/MFA),License,CRM Core,Yes,,,,,,,"- B2.7: สิทธิ์ผู้ใช้งานหลังบ้าน (role/permission/MFA) user access control
- A2.8: Governance สรุปกติกา + audit log + ผู้อนุมัติ (maker-checker) และอื่น ๆ
- F1.7: Permission management / audit log","- แยกข้อมูลระดับ merchant อย่างปลอดภัย
- แบ่ง admin function ได้ละเอียด: ดู / สร้าง / แก้ไข / อนุมัติ
- Superadmin สำหรับจัดการระดับ platform
- ตั้งค่า approval workflow สำหรับ action ที่มีผลกระทบสูง เช่น ปรับแต้มจำนวนมาก"
Phase 1,Campaign & Privilege Management Console,License,"CRM Core, CRM Campaigns",Yes,,,,,,,"- F1.1: สร้าง/แก้ไข campaign, privilege, eCoupon
- F1.2: ตั้ง rule ของ coins, privilege, eCoupon
- F1.3: ตั้งเงื่อนไขการมองเห็น/แลกได้ตาม tier/segment/time/campaign
- F1.4: ตัวอย่างระบบหลังบ้านที่มี privilege/campaign management + condition + rule engine + analytics
- A2.7: มี Back office สําหรับทีมการตลาด/operation ตั้ง segment, rule, campaign, privilege, report","- Mission template library สำหรับสร้าง mission เร็ว เช่น ภารกิจตรวจสุขภาพ
- Form builder สำหรับ survey พร้อม conditional logic / NPS / Rating / Open Text — คำตอบส่งเข้า patient profile และ trigger journey อัตโนมัติ
- Display settings พร้อมระบบแปลหลายภาษา (ไทย/อังกฤษ/จีน/ญี่ปุ่น)
- Block-based Design Configuration — ประกอบ Homepage/Landing Page จาก Building Block สำเร็จรูป (Hero Banner / Coin Summary / Tier Status / Privilege Carousel / Package Spotlight ฯลฯ) Member Type ต่างกันเห็นหน้าที่ต่างกัน โดยไม่ต้องแก้ Code
- แสดง content ตามประเภทสมาชิก"
Phase 1,รองรับหลายภาษา (Multi-language),License,CRM Core,No,,,,,,,,"- รองรับภาษาไทย อังกฤษ จีน ญี่ปุ่น อาหรับ ใน license — ไม่มีค่าพัฒนาเพิ่มเติม
- ภาษาอื่น ๆ เพิ่มเติมตามคำขอได้
- ระบบแปลภาษาครอบคลุมทุกส่วน: หน้า consumer, eCoupon, reward, campaign, notification
- ทีมการตลาดตั้งค่าเนื้อหาแต่ละภาษาได้เองจากหลังบ้าน
- เหมาะสำหรับ รพ. ที่มีผู้ป่วยต่างชาติหลากหลายสัญชาติ"
Phase 1,ซื้อ Health Package ผ่าน Well by Samitivej,License + Custom Development,"CRM Core, Open API",Yes,"120,000","25,000",,,,,"- F3: ซื้อ Health Package ของ Samitivej เองได้ทันที ผ่าน Well by Samitivej (ระบบหลังบ้านใช้ของ Vendor)
- F3.1 Customer: ผู้ใช้สามารถ ค้นหา/เลือกซื้อ Health Package ได้ภายในแอป (Catalog/Browse/Search/Filter) / ดูรายละเอียดแพ็กเกจได้ครบ เช่น รายละเอียดบริการ/เง่ื่อนไข/ระยะเวลาใช้งาน/ข้อจํากัด/สถานท่ี่ให้บริการ/ช่องทางนัดหมาย / ชําระเงิน + Coin แทนส่วนลด ""จบใน flow"" / หลักฐานการซื้อ/Order confirmation + สถานะรายการ / ระบบออกสิทธิ์หลังซื้อ (eCoupon/Voucher, Entitlement แบบนับจํานวน เช่น 5 ครั้ง, สิทธิ์การเข้าถึงบริการ/นัดหมาย) / ประวัติการซื้อ (Order History) + สถานะการใช้สิทธิ (ใช้ไปกี่ครั้ง/เหลือเท่าไร/หมดอายุเมื่อไร) / การแจ้งเตือนหลังซื้อ (push/LINE/Email) ตามช่องทางที่ได้รับ consent
- F3.2 Vendor BO: สร้าง/แก้ไข/เผยแพร่ Health Package (Catalog management) / ตั้งราคา/เงื่อนไข/ช่วงเวลา (effective–expiry), quota, ซ่อน/แสดงแพ็กเกจตามเง่ื่อนไข / แคมเปญราคา/ส่วนลดตาม Journey/Segment/Tier/Eligibility หรือ Trigger จาก API / Order management (สถานะคําสั่งซื้อ, ยืนยันชําระเงิน, ยกเลิก/คืนเงิน ตาม policy) / ออกสิทธิ์อัตโนมัติหลังซื้อ (issue eCoupon/Entitlement) + audit log / รายงาน export (ยอดขาย, conversion funnel, package uptake, redemption/usage ตามสาขา/แผนก/ช่วงเวลา/แคมเปญ)","- รองรับหลายวิธี fulfillment (digital + physical + pickup)
- รองรับ promo code สำหรับส่วนลดแพ็กเกจ
- ระบบออกสิทธิ์อัตโนมัติ (ซื้อ → สิทธิ์)
- จ่ายบางส่วนด้วย Coin ได้
- จัดการ stock/quota แบบ real-time"
Phase 1,Reward Pool / Pay-per-use,License + Custom Development,CRM Core,Yes,,"10,000",,,,,"- F4: Reward Pool แบบ Pay-per-use (อยากให้มีทางเลือก)
- F4.1: ต้องการระบบ ""Privilege pool"" ดีลกลางของรางวัลหลากหลายให้ลูกค้าเลือกเอง หรือมี Tier ของรางวัล (คูปอง/ของ physical/อื่น ๆ)
- F4.2: ใช้รูปแบบ pay-per-use โดยสมิติเวชจะจ่ายเมื่อมีลูกค้ากด Redeem
- F4.3: กรณีเป็นส่วนของรางวัลรวม fulfillment/shipping","- ติดตาม partner ต้นทางของ promo code ได้
- นำเข้า code จำนวนมากพร้อมจัดการวันหมดอายุ
- รางวัล physical: ติดตามสถานะจัดส่ง (รอ → จัดส่ง → ส่งถึง → เสร็จสิ้น) / รางวัล digital: ออกสิทธิ์ผ่าน API หรือ code validation
- วิเคราะห์ต้นทุนต่อ redemption ได้"
Phase 1,Reward Sourcing (จัดหาของรางวัล / Pay-per-use),Service,CRM Core,Yes,,,,,,8-12% ของมูลค่ารางวัล (ขึ้นกับประเภท),"- F4.1: ต้องการระบบ ""Privilege pool"" ดีลกลางของรางวัลหลากหลายให้ลูกค้าเลือกเอง หรือมี Tier ของรางวัล (คูปอง/ของ physical/อื่น ๆ)
- F4.2: ใช้รูปแบบ pay-per-use โดยสมิติเวชจะจ่ายเมื่อมีลูกค้ากด Redeem
- F4.3: กรณีเป็นส่วนของรางวัลรวม fulfillment/shipping","- รางวัลกว่า 2,000+ SKU ครอบคลุมหลายหมวดหมู่: eCoupon ร้านอาหาร/คาเฟ่, บัตรของขวัญ (Starbucks, Central, Grab ฯลฯ), สินค้า lifestyle & wellness, ของรางวัล physical (ของใช้, gadget), สิทธิพิเศษจาก partner (โรงแรม, สปา, สายการบิน)
- คิดค่าบริการเฉพาะเมื่อสมาชิกกด redeem จริง (pay-per-use)
- ไม่มีค่าใช้จ่ายล่วงหน้าสำหรับ reward sourcing
- จัดส่ง/fulfillment รวมอยู่ในบริการ"
Phase 1,Security / PDPA / Audit / Anti-fraud,Service + License,CRM Core,Yes,,,,,,,"- G.2: แนวทางความปลอดภัย Security / PDPA / Audit / Anti-fraud
- A2.9: Security + PDPA + Audit ป้องกันการ Fraudulent","- ระบบแยกข้อมูลระหว่าง tenant อย่างปลอดภัย
- ระบบยืนยันตัวตนที่ปลอดภัยพร้อมแยกสิทธิ์ตาม merchant
- PDPA consent management แยกช่องทาง แยกวัตถุประสงค์
- Audit logging ครบทุก data mutation
- ป้องกัน double-spend สำหรับ coin/coupon
- Rate limiting และ abuse detection
- เข้ารหัสข้อมูลทั้ง at rest และ in transit"
Phase 1,ระบบ Mission & Gamification,License,CRM Campaigns,Yes,,,"300,000",,,,"- B1.3b: Mission เช่น Online gamification, On-site gamification (ไปทําภารกิจรายแผนก)","- Standard Mission: ภารกิจเป้าหมายเดียว ทำซ้ำได้ตามตั้งค่า เงื่อนไขแบบ AND
- Milestone Mission: ภารกิจหลายระดับ (เช่น ตรวจสุขภาพ 3 ครั้ง → 5 ครั้ง → 10 ครั้ง) พร้อม overflow waterfall
- ติดตามความคืบหน้าแต่ละเงื่อนไขแยกกัน
- ประเมินผลอัตโนมัติเมื่อมี event เกิดขึ้น
- รองรับหลาย condition source: purchase, wallet, form, referral
- แจกรางวัลอัตโนมัติเมื่อทำสำเร็จ
- ระบบ Check-in ตามสถานที่ (เช่น check-in ที่ รพ.)
- ระบบ Referral: รางวัลทั้งผู้ชวนและผู้ถูกชวน (Coin/Privilege/ทั้งคู่) กำหนด limit ต่อผู้เชิญต่อช่วงเวลาได้ แชร์ผ่าน LINE/Facebook/Copy Link/QR Code พร้อม tracking funnel ครบ (Code Shared → Registration → First Visit → Reward Issued)"
Phase 1,ระบบ Earn Coins จากพฤติกรรม (Content/Social),License + Custom Development,"CRM Core, CRM Campaigns",Yes,"80,000","15,000",,,,,"- B1.3a: อ่านบทความ, กด Like, Share
- B1.3: ได้ Coins จากพฤติกรรมที่ดี
- A2.4: รองรับการให้ Coins จากพฤติกรรม (Behavioral Data) บนจากทุกช่องทางเครือโรงพยาบาลสมิติเวช ทั้ง Online และ Offline พร้อมรองรับเช่ือม Omni
- E2.7: Track Activities Contents Read / Like / Share / Hospital Ecommerce
- E2.8: ส่ง event เข้า CRM เพ่ือให้ coins ตามกติกา","- รองรับ 15+ ประเภทช่องทางการ earn coin
- ตั้งค่าช่องทาง earn ได้หลายรูปแบบ (purchase, campaign, lifecycle, custom)
- กำหนดอัตราแลก (ใช้บริการ X บาท ได้ Y coin) + ตัวคูณ coin (เช่น 2x ช่วงเปิดตัวสาขาใหม่)
- ตั้ง earn rule ระดับบริการ (แพ็กเกจตรวจสุขภาพ/แผนก/ประเภทบริการ)
- ตั้ง Threshold & Cap (จำกัดต่ำสุด/สูงสุดที่ earn coin ได้ต่อรายการ)"
Phase 1,Single Customer View & Dynamic Segmentation,License + Custom Development,Mini-CDP,Yes,,,"200,000",,,,"- D1.1: Single Customer View (SCV) + Dynamic Segmentation
- D1.1a: รวมข้อมูลพฤติกรรมจาก: Well/เว็บ/LINE/ecom/Data Center-HIS (เท่าที่อนุญาต)
- D1.1b: ทํา segment
- D1.1b.i: Segement แบบ Input
- D1.1b.ii: Segement แบบ dynamic สร้างเงื่อนไขทางการตลาดได้
- A1.6: Single Customer View (SCV) คือ มุมมองลูกค้าคนเดียวท่ี่รวมพฤติกรรมทุกช่องทาง ประวัติการใช้งาน
- A2.6: ทํางานร่วมกับ CDP Hospital ได้: อย่างน้อยต้อง consume master product/price และใช้กับ offering/discount/journey/privilege
- D เป้าหมาย: จาก ""มีข้อมูล"" ไปสู่ ""ใช้ข้อมูลทํา automation ถูกลูกค้าในแต่ละ Segment/Stage"" และวัดผลได้","- สร้าง segment จากพฤติกรรมไม่จำกัดมิติ เช่น VIP, ผู้ป่วยเรื้อรัง, กลุ่มตรวจสุขภาพประจำปี, กลุ่มสะสม coin สูง
- จัดกลุ่มลูกค้าตามประเภทสมาชิก เช่น Corporate, Insurance, Individual
- กำหนด customer attributes หลายมิติ (tier + ประเภทสมาชิก + tags)
- Segment อัปเดตอัตโนมัติเมื่อ attribute ลูกค้าเปลี่ยน
- Export segment ไปใช้กับระบบภายนอกได้"
Phase 1,Data Strategy & Infrastructure,Service + Custom Development,"Mini-CDP, Open API",Yes,"200,000","15,000",,,,,- G.1: แนวทางการทําโครงสร้าง Data Strategy / Data Preparation / Data Enrichment / System / Infra,"- ระบบประมวลผลแบบ event-driven ที่เสถียรและ real-time
- ระบบ caching สำหรับความเร็วสูง
- ฐานข้อมูลพร้อม real-time capabilities
- ระบบเสริมข้อมูลลูกค้าอัตโนมัติ (ซื้อ → คะแนน → tier → segment)
- โครงสร้างข้อมูลยืดหยุ่น ขยายได้ในอนาคตโดยไม่กระทบระบบเดิม"
Phase 1,ระบบ Transfer Coin/Point (E-commerce & Partners),Custom Development,Open API,Yes,"150,000","30,000",,,,,"- B1.5: แลก Transfer Coin / Point
- B1.5a: Transfer จาก Ecommerce ต่าง ๆ ที่ Samitivej ขึ้นบริการ เช่น Shopee, Lazada, Line Myshop มาที่ Samitivej
- B1.5b: Transfer จาก Partners เจ้าท่ีมี Coin / Point เช่น The One / M Card / K Point ฯลฯ มาที่ Samitivej
- หมายเหตุ: Transfer coin เฉพาะกับแพลตฟอร์ม shopee, lazada เท่านั้น เป็นการ transfer จากเจ้าอื่นมาที่ Samitivej เท่านั้น ไม่สามารถแลก coin ออกได้","- รองรับระบบเครดิตสำหรับเชื่อมต่อ platform ภายนอก
- ตั้ง conversion rate ต่อ partner ได้
- API-based transfer พร้อม audit trail ครบ
- Marketplace earn channel รองรับหลาย platform (Shopee/Lazada/TikTok)"
Phase 1,เชื่อมต่อ Well by Samitivej (SuperApp — Full Loop),Custom Development,Open API,Yes,"200,000","30,000",,,,,"- B3.1: Well by Samitivej (แสดง wallet + collect / redeem)
- E1: WellbySamitivej (SuperApp)—""FullLoop มากที่สุด""
- E1 ภาพที่อยากได้: Well เป็น ""หน้าบ้านหลัก"" ท่ี่ลูกค้าเห็นและทําธุรกรรมได้ครบที่สุด Vendor ต้องรองรับผ่าน API/SDK/Deep link ตามความเหมาะสม
- E1.1: Register/Login (SSO)
- E1.2: Member Benefit / Status
- E1.3: Wallet: Coins + eCoupons + Tier
- E1.4: Earn coins / eCoupon จากกิจกรรม, Redeem coins / eCoupon
- E1.5: ซื้อ/รับ eCoupon จาก e-commerce (เช่น คูปองอาหาร)
- E1.6: แสดงสิทธิ์ package entitlement (เหลือกี่ครั้ง) และกดใช้/ยืนยันได้
- E1.7: รับ Push/ข้อความแจ้งสิทธิ์จาก Journeys เชื่อม Tier ได้ข้อเสนอที่แตกต่างกันได้ ซื้อได้ทันที
- E1.8: Consent & preference / Omni","- แสดง content และข้อเสนอเฉพาะบุคคลตาม tier/ประเภทสมาชิก/segment
- รองรับหลายภาษา (ไทย/อังกฤษ/จีน/ญี่ปุ่น) สำหรับผู้ป่วยต่างชาติ
- ระบบ cache สำหรับโหลดข้อมูล wallet/สิทธิ์ได้เร็ว
- รับข้อมูลจากหลายระบบพร้อมกันได้ (HIS, e-commerce, LINE) เพื่ออัปเดต member profile"
Phase 1,เชื่อมต่อ Data Center-HIS (API),Custom Development,Open API,Yes,"150,000","20,000",,,,,"- B3.4: Data Center-HIS (API) ข้อมูลต่างๆ อาทิ patient history, tier พร้อมการทํา analytics และ event การเข้ารับบริการ เพื่อออกคูปอง/ตัดสิทธิ์
- A2.2: เช่ื่อม Data Center-HIS ได้ โดยเฉพาะการซื้อแพ็กเกจหน้างาน การเข้าใช้บริการ ""แพ็กเกจหลายครั้ง/คูปองชุด"" และการสร้าง/ตัดอัตโนมัติ หลัง ซ้ือ/เข้ารับบริการ การมาโรงพยาบาล แยกย่อยแผนกต่างๆ","- ระบบรับ event จาก HIS แบบ real-time
- ระบบส่งข้อมูลที่เชื่อถือได้ ไม่มีข้อมูลหาย
- ระบบประมวลผลที่มีความเสถียร พร้อม retry อัตโนมัติ
- ตั้งค่า event-to-action mapping ได้ (HIS event → คูปอง/สิทธิ์/tier update)
- Bi-directional API (อ่านข้อมูลผู้ป่วย + เขียนสถานะสิทธิ์กลับ)"
Phase 1,เชื่อมต่อ E-commerce (Shopee/Lazada/LINE MyShop/Hospital),Custom Development,Open API,Yes,,,"32,000",,,,"- B3.5: E-commerce (Hospital e-commerce, Shopee, Lazada, Line Myshop)
- E4: E-commerce ทุกช่องทาง — ต้องเชื่อมและ TransferCoin/Point มาที่ Samitivej
- E4.1: Shopee / Lazada / LINE My Shop
- E4.2: Hospital e-commerce platform
- E4 สิ่งที่ต้องทําให้เกิด 1: ซื้อแล้วให้ coins หรือให้ eCoupon ตามกติกา
- E4 สิ่งที่ต้องทําให้เกิด 2: Redeem eCoupon ในการซื้อครั้งถัดไป (ถ้าใช้เป็น discount)
- E4 สิ่งที่ต้องทําให้เกิด 3: Tier benefit ต้องมีผลกับ e-commerce (เช่น ส่วนลด/สิทธิพิเศษตาม tier)
- A2.1: เชื่อมการนับเงื่อนไขต่าง ๆ เช่น Spending หรือการส่ั่งซื้อสินค้าสําเร็จ จาก E-commerce Shopee / Lazada / LINE My Shop / Hospital e-commerce และ Tier ต้องบริหารจากศูนย์กลาง","- ตั้งค่า earn channel ครั้งเดียวครอบทุก marketplace (Shopee/Lazada/TikTok)
- ระบบตรวจสอบใบเสร็จ
- ระบบตรวจสอบ order code จาก marketplace
- ตั้ง rule แยกตามช่องทางการขายได้
- ตั้ง earn rule แยกต่อ marketplace ได้"
